platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
Sling Freestream,Global and North America,Video,watch.sling.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free live/VOD catalog; paid Sling is separate entitlement.,https://www.sling.com/help/en/learn-about-sling/promotions/freestream,The Sling Freestream Experience Explained | Sling TV Help,2026-09-06
Philo Free Channels,Global and North America,Video,philo.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free channels alongside paid Philo plans.,https://help.philo.com/account-billing/free-channels-experience/,Philo Free Channels: 150+ Channels at No Cost | Philo Help,2026-09-06
Prime Video,Global and North America,Video,primevideo.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid-with-ads and a distinct free catalog in supported markets; former Freevee is integrated here.,https://advertising.amazon.com/en-us/library/guides/free-ad-supported-streaming-tv/ ; https://www.itv.com/presscentre/presscentre/media-releases/itvx-premium-launches-prime-video-uk-add-subscription,Get more out of your Streaming TV ads with FAST | Amazon Ads ; ITVX Premium Launches on Prime Video in the UK as an Add-On Subscription | Press Centre,2026-09-06
Netflix,Global and North America,Video,netflix.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported plans; no general free tier. Ads cannot be skipped using the normal player.,https://help.netflix.com/go/ads,Ads on Netflix,2026-09-06
Disney+,Global and North America,Video,disneyplus.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported tiers only in relevant markets.,https://press.disneyplus.com/ad-supported-disney-plus-plan-now-available-in-the-us ; https://www.disneyplus.com/explore/what-is-disneyplus?msockid=3cc1646b361760fe1c2472e0372861a0,Ad-Supported Disney+ Plan Now Available In The U.S. With More Than 100 Advertisers Across All Major Categories At Launch | Disney Plus Press ; What is Disney+ | Learn More About Disney+,2026-09-06
Hulu,Global and North America,Video,hulu.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported service; Hulu content inside Disney+ is a separate player surface.,https://www.disneyplus.com/explore/what-is-disneyplus?msockid=3cc1646b361760fe1c2472e0372861a0,What is Disney+ | Learn More About Disney+,2026-09-06
HBO Max,Global and North America,Video,hbomax.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Basic with Ads; country-specific plan and ad load.,https://help.hbomax.com/US/Answer/Detail/000002520,HBO Max | Find out about the HBO Max ad experience that comes with the HBO Max Basic with Ads plan.,2026-09-06
Paramount+,Global and North America,Video,paramountplus.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported plans; live TV can retain ads on higher plans.,https://www.paramountplus.com/account/signup/pickplan/?msockid=339152c80beb6ac234d844180ada6bab,Pick Paramount Plus Plan,2026-09-06
Peacock,Global and North America,Video,peacocktv.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Current paid Select/Premium options; do not assume a generally available free tier.,https://www.peacocktv.com/help/article/why-am-i-seeing-ads-as-a-peacock-premium-plus-customer ; https://www.peacocktv.com/plans/all-monthly?successRedirect=%2Fwatch%2Fasset%2Fsports%2Fwwe%2Fwrestlings-bloopers-bleeps-and-bodyslams%2F34153781-8fbf-3c5a-bb5b-3c6ca976ae2d,Will I still see ads as a Peacock Premium Plus customer? ; Peacock - Choose a Plan,2026-09-06
AMC+,Global and North America,Video,amcplus.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid with-ads option; bundled channel content must retain its access rules.,https://join.amcplus.com/home/,Watch Award-Winning Shows & Movies | AMC+,2026-09-06
discovery+,Global and North America,Video,discoveryplus.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported plan; regional plan availability needs checking.,https://help.philo.com/account-billing/packages/,Philo Subscription Plans & Add-Ons | Philo Help,2026-09-06
Fandango at Home,Global and North America,Video,athome.fandango.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official catalog explicitly labels free-with-ads titles alongside rentals/purchases. Former Vudu; title availability and desktop playback remain untested.,https://athome.fandango.com/content/movies/ ; https://athome.fandango.com/content/browse/uxrow/Browse-All-Free-Titles/2764 ; https://athome.fandango.com/content/browse/uxrow/Watch-For-Free-with-Ads-Buy-For-4-99/18120,"Rent, Buy, Watch Movies & TV Online | Fandango at Home (Vudu) ; Browse All Free Titles | Stream on Fandango (Vudu) ; Watch For Free with Ads Buy For 4 99 | Stream on Fandango (Vudu)",2026-09-06
Cineverse,Global and North America,Video,cineverse.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Publisher advertising network confirmed; verify current consumer playback entry point and tier.,https://www.cineverse.com/advertise-with-us/,"Advertise with Cineverse | Reach Engaged Audiences via CTV, Podcasts & More",2026-09-06
FilmRise,Global and North America,Video,filmrise.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ad-supported apps/channels confirmed; main corporate site is not necessarily a full web player. Test distributor hosts.,https://www.filmrise.com/about-us,ABOUT US,2026-09-06
Fawesome,Global and North America,Video,fawesome.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official distributor page documents free, advertising-funded VOD. Its device list emphasizes CTV/mobile; do not assume a usable desktop player.",https://fawesome.tv/partnerships/,Fawesome Partners | Independent Artists,2026-09-06
Filmzie,Global and North America,Video,filmzie.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free advertising-funded VOD documented in privacy notice.,https://filmzie.com/legal/en/privacy-notice,Filmzie – quality movie & TV shows free streaming.,2026-09-06
DistroTV,Global and North America,Video,distro.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,FAST and VOD; territory/channel variations.,https://blog.distro.tv/news/distrotv-now-set-to-stream-on-major-smart-tv-platforms-in-addition-to-all-key-streaming-devices/,"DistroTV Now Set to Stream on Major Smart TV Platforms, In Addition to All Key Streaming Devices - DistroTV Blog",2026-09-06
Runtime,Global and North America,Video,runtime.tv,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Active streaming homepage found; verify ad model and region in playback.,https://www.runtime.tv/,Home | Runtime,2026-09-06
Local Now,Global and North America,Video,localnow.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Owner documents a free ad-supported service with local news and entertainment. Current desktop playback and geographic access still need qualification.,https://allenmedia.tv/founder/ ; https://allenmedia.tv/allen-media-group-turns-local-now-into-a-free-hyperlocal-streamer/,Founder - Allen Media Group ; Allen Media Group Turns Local Now Into A Free Hyperlocal Streamer - Allen Media Group,2026-09-06
Zeam,Global and North America,Video,zeam.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free local streaming confirmed; distinguish broadcaster ads from player-inserted ads.,https://get.zeam.com/,Zeam: Always local. Always free,2026-09-06
STIRR,Global and North America,Video,stirr.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Verify current operator, usable web player and lineup before adapter work.",,,2026-09-06
Fubo Free,Global and North America,Video,fubo.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Check eligibility of free offering; full Fubo is paid live TV.,,,2026-09-06
FreeCast,Global and North America,Video,freecast.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Aggregator; distinguish its own player from outbound services.,,,2026-09-06
Free Movies Plus,Global and North America,Video,freemoviesplus.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Secondary free-VOD candidate; confirm owner/player.,,,2026-09-06
Revry,Global and North America,Video,revry.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,LGBTQ+ FAST/VOD candidate.,,,2026-09-06
The CW,Global and North America,Video,cwtv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free broadcaster catch-up; verify current content/device access.,,,2026-09-06
NBC,Global and North America,Video,nbc.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips/selected catch-up versus provider-locked programming.,,,2026-09-06
ABC,Global and North America,Video,abc.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips/selected episodes versus authenticated access.,,,2026-09-06
CBS,Global and North America,Video,cbs.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips/selected episodes versus Paramount+ content.,,,2026-09-06
FOX,Global and North America,Video,fox.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips versus TV-provider entitlement; sports separate.,,,2026-09-06
PBS,Global and North America,Video,pbs.org,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Underwriting and sponsor messages; Passport is not an ad-supported free entitlement.,,,2026-09-06
A&E,Global and North America,Video,aetv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Selected free episodes; many require TV provider.,,,2026-09-06
History,Global and North America,Video,history.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Selected free episodes; many require TV provider.,,,2026-09-06
Lifetime,Global and North America,Video,mylifetime.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Selected free episodes; many require TV provider.,,,2026-09-06
Adult Swim,Global and North America,Video,adultswim.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Animation broadcaster; name does not mean an adult sexual-content platform.,,,2026-09-06
Comedy Central,Global and North America,Video,cc.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Verify present web playback after broadcaster app retirements.,,,2026-09-06
BET,Global and North America,Video,bet.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Clips/free episodes versus paid BET+.,,,2026-09-06
Crunchyroll Channel,Global and North America,Video,help.crunchyroll.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free linear channel on partner platforms; do not treat paid Crunchyroll app as the same service.,https://help.crunchyroll.com/article/crunchyroll-channel,Crunchyroll Channel,2026-09-06
RetroCrush,Global and North America,Video,retrocrush.tv,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"A free RetroCrush channel is listed on Plex. This verifies a distributor surface, not current standalone retrocrush.tv playback or ad behavior.",https://watch.plex.tv/live-tv/channel/retrocrush?autoplay=1,RetroCrush,2026-09-06
AsianCrush,Global and North America,Video,asiancrush.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Asian-film free/premium candidate.,,,2026-09-06
Midnight Pulp,Global and North America,Video,midnightpulp.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Genre-film free/premium candidate.,,,2026-09-06
Rakuten Viki,Global and North America,Video,viki.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free with ads plus Viki Pass; catalog varies by territory.,https://global.rakuten.com/corp/news/press/2024/1118_01.html,"Rakuten Viki Celebrates Second Annual International K-Drama Day on November 29 | Rakuten Group, Inc.",2026-09-06
OnDemandKorea,Global and North America,Video,ondemandkorea.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official pages document free episodes and advertising on free content; paid plans can reduce ads rather than remove every ad. Qualify free VOD separately from sports and premium titles.,https://www.ondemandkorea.com/en/search ; https://www.contentpromo.ondemandkorea.com/standard-en,"Watch Korean Dramas, Movies Online I OnDemandKorea ; odk_membership_standard_en | contentpromo",2026-09-06
OnDemandChina,Global and North America,Video,ondemandchina.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Chinese-language diaspora VOD candidate.,,,2026-09-06
KOCOWA+,Global and North America,Video,kocowa.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Check current free sampling versus subscription; do not assume full free catalog.,,,2026-09-06
CBC Gem,Canada,Video,gem.cbc.ca,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"CBC advertising sales page confirms no-cost viewing and paid ad-free videos, with Web/App audience reporting. Canadian availability; live and pause ads require separate qualification.",https://solutionsmedia.cbcrc.ca/en/platforms/cbc-gem ; https://apps.apple.com/ca/app/cbc-gem-movies-tv-live/id422191503?ls=1,"CBC Gem - CBC & Radio-Canada Media Solutions ; ‎CBC Gem: Movies, TV & Live App - App Store",2026-09-06
CTV,Canada,Video,ctv.ca,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Check current free player and Crave integration; provider locks vary.,https://www.bellmedia.ca/the-lede/press/2026-2027-bell-media-upfront-acquisitions-ctv-and-crave/,2026-2027 BELL MEDIA UPFRONT ACQUISITIONS – CTV and Crave - Bell Media,2026-09-06
Crave,Canada,Video,crave.ca,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Current Standard With Ads documented by Bell; do not assume all Crave is free.,https://www.bell.ca/mobility/promotions/Crave-plans,Crave plans | Bell Mobility | Bell Canada,2026-09-06
Global TV,Canada,Video,globaltv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Catch-up/free clips versus provider-locked library.,,,2026-09-06
Citytv,Canada,Video,citytv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free catch-up and provider-specific restrictions.,,,2026-09-06
Noovo,Canada,Video,noovo.ca,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Check Noovo/Crave player integration.,https://www.crave.ca/en/noovo,Crave Noovo,2026-09-06
TVA+,Canada,Video,tvaplus.ca,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,French-language broadcaster candidate.,,,2026-09-06
Télé-Québec,Canada,Video,telequebec.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Public broadcaster; verify ad/underwriting placement by program.,,,2026-09-06
ICI TOU.TV,Canada,Video,ici.tou.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free and EXTRA subscription surfaces differ.,,,2026-09-06
ITVX,UK and Ireland,Video,itv.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ads and Premium; live channels still have ads.,https://help.itv.com/support/solutions/articles/204000073725-why-does-itvx-have-ads- ; https://help.itv.com/support/solutions/articles/204000074053/create_ticket,Why does ITVX have ads? : ; I'm subscribed but still seeing adverts :,2026-09-06
Channel 4,UK and Ireland,Video,channel4.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Former All 4; free streaming with optional Channel 4+ ad-free offering.,https://www.channel4.com/press/news/channel-4-brings-iconic-blocks-back-together-single-brand-streaming-future ; https://assets-corporate.channel4.com/_flysystem/s3/2024-01/Fast%20Forward%20-%20Channel%204%20strategy%20summary.pdf,"Channel 4 brings iconic blocks back together for single brand streaming future | Channel 4 ; To transform Channel 4 into a genuinely digital-first public service streamer, Fast Forward has three key strategic pillars:",2026-09-06
5,UK and Ireland,Video,channel5.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Current combined Channel 5/My5 brand; free service verified, exact player ad behavior needs test.",https://www.viacomcbs-mediahub.co.uk/press-releases/%E2%80%98it%E2%80%99s-all-on-5%E2%80%99-%E2%80%93-channel-5-and-my5-combine-under-a-single-brand-following-record-growth-in-streaming-viewing-,‘It’s all on 5’ – Channel 5 and My5 combine under a single brand following record growth in streaming viewing - Paramount,2026-09-06
U,UK and Ireland,Video,u.co.uk,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Former UKTV Play; free ad-funded streaming documented.,https://u.co.uk/help/faqs,U Frequently Asked Questions | Help | FAQs | Watch TV on U,2026-09-06
STV Player,UK and Ireland,Video,player.stv.tv,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free with ads; subscription/live exceptions.,https://support.stv.tv/support/subscription-pricing ; https://support.stv.tv/support/why-does-stv-player-have-ads-,Subscription Pricing ; Why does STV Player have ads?,2026-09-06
RTÉ Player,UK and Ireland,Video,rte.ie,B,Broadcast advertising documented; separate ad segment not established,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live sports sponsorship/ad breaks confirmed; VOD must be tested separately.,https://about.rte.ie/2026/06/03/rte-unveils-heineken-0-0-as-broadcast-sponsor-of-fifa-world-cup-2026-coverage/,RTÉ unveils Heineken 0.0 as broadcast sponsor of FIFA World Cup 2026 coverage – About RTÉ,2026-09-06
Virgin Media Play,UK and Ireland,Video,virginmediatelevision.ie,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free Irish catch-up/live funded by advertising.,https://www.virginmediatelevision.ie/player-faq,Virgin Media Television - FAQ,2026-09-06
TG4 Player,UK and Ireland,Video,tg4.ie,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Irish-language live/catch-up candidate; verify specific ad surfaces.,,,2026-09-06
NOW,UK and Ireland,Video,nowtv.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid on-demand includes ads without Boost/Ultra Boost; live-channel ads remain.,https://www.nowtv.com/gb/help/article/can-i-watch-without-ads,Ads On NOW,2026-09-06
Sky Go,UK and Ireland,Video,sky.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid/provider-authenticated channels; broadcast ads.,,,2026-09-06
TF1+,France and pan-European services,Video,tf1.fr,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded catalog; Premium and live exceptions. Former MYTF1.,https://help.tf1.fr/hc/fr/articles/16165591640338-Pourquoi-je-ne-peux-pas-acc%C3%A9der-gratuitement-aux-programmes-et-au-direct-de-cha%C3%AEnes-sur-TF1 ; https://help.tf1.fr/hc/fr/articles/16165603277074-TF1-une-offre-payante-ou-gratuite,"Pourquoi je ne peux pas accéder gratuitement aux programmes et au direct de chaînes sur TF1+ ? – Centre d'aide de TF1+ ; TF1+, une offre payante ? ou gratuite ? – Centre d'aide de TF1+",2026-09-06
M6+,France and pan-European services,Video,m6.fr,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded with paid options. Former 6play.,https://support.m6plus.m6.fr/hc/fr/articles/27304420678300-Pourquoi-je-ne-peux-pas-acc%C3%A9der-gratuitement-aux-programmes-et-au-direct-de-cha%C3%AEnes-sur-M6 ; https://support.m6plus.m6.fr/hc/fr/articles/13284090995612-Pourquoi-y-a-t-il-des-publicit%C3%A9s-lorsque-je-regarde-un-programme-sur-M6,Pourquoi je ne peux pas accéder gratuitement aux programmes et au direct de chaînes sur M6+ ? – Accéder à M6+ ; Pourquoi y a t-il des publicités lorsque je regarde un programme sur M6+ ? – Accéder à M6+,2026-09-06
france.tv,France and pan-European services,Video,france.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official ad-sales site documents free streaming and advertising formats. This establishes an advertising offering, not ads on every program or a skippable segment; qualify children/live/VOD separately.",https://www.francetvpub.fr/marques/france-tv/ ; https://www.francetvpub.fr/?jet_download=33025,"France.tv - France•TV Publicité ; P U B L I C I T É , ",2026-09-06
Molotov,France and pan-European services,Video,molotov.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free/paid channel packages; web playback eligibility needs checking.,,,2026-09-06
Rakuten TV,France and pan-European services,Video,rakuten.tv,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-supported selection plus transactions; website login needed for Free.,https://support.rakuten.tv/hc/en-us/articles/360036407474-What-is-Rakuten-TV-Free ; https://support.rakuten.tv/hc/en-us/articles/360010835133-Technical-requirements-to-use-Rakuten-TV-on-your-Computer,"What is ""Rakuten TV Free""? – Help Rakuten.TV ; Technical requirements to use Rakuten TV on your Computer – Help Rakuten.TV",2026-09-06
Samsung TV Plus,France and pan-European services,Video,samsungtvplus.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Samsung documents FAST advertising and US web-player access. Service availability in other countries does not prove the same browser access. Live playback untested.,https://www.samsung.com/us/tvs/smart-tv/samsung-tv-plus/ ; https://www.samsung.com/us/business/samsungads/blog/2025-newfront-highlights/,Smart TVs | Free Live TV with Samsung TV Plus | Samsung US ; 2025 NewFront Highlights | Blog | Samsung Ads,2026-09-06
LG Channels,France and pan-European services,Video,lgchannels.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,LG documents free ad-supported channels and US PC-browser access. Global service country counts include device distribution and do not establish browser availability everywhere.,https://www.lg.com/us/lg-channels ; https://www.lgchannels.com/ ; https://www.lg.com/global/newsroom/news/media-entertainment-solution/lg-channels-surpasses-5000-channels-globally-as-poland-launch-brings-service-to-37-countries/,"LG Channels | Free Live TV, Movies, and Shows | LG USA ; LG Channels WEB ; LG Channels Surpasses 5,000 Channels Globally, as Poland Launch Brings Service to 37 Countries",2026-09-06
rlaxx TV,France and pan-European services,Video,rlaxxtv.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Historical free service evidence; current availability/browser viability must be rechecked.,https://filmzie.com/blog/2021/02/24/filmzie-is-now-available-on-rlaxx-tv/,Filmzie is now available on rlaxx TV - Filmzie Blog,2026-09-06
