platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
Sling Freestream,Global and North America,Video,watch.sling.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free live/VOD catalog; paid Sling is separate entitlement.,https://www.sling.com/help/en/learn-about-sling/promotions/freestream,The Sling Freestream Experience Explained | Sling TV Help,2026-09-06
Philo Free Channels,Global and North America,Video,philo.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free channels alongside paid Philo plans.,https://help.philo.com/account-billing/free-channels-experience/,Philo Free Channels: 150+ Channels at No Cost | Philo Help,2026-09-06
Prime Video,Global and North America,Video,primevideo.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid-with-ads and a distinct free catalog in supported markets; former Freevee is integrated here.,https://advertising.amazon.com/en-us/library/guides/free-ad-supported-streaming-tv/ ; https://www.itv.com/presscentre/presscentre/media-releases/itvx-premium-launches-prime-video-uk-add-subscription,Get more out of your Streaming TV ads with FAST | Amazon Ads ; ITVX Premium Launches on Prime Video in the UK as an Add-On Subscription | Press Centre,2026-09-06
Netflix,Global and North America,Video,netflix.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported plans; no general free tier. Ads cannot be skipped using the normal player.,https://help.netflix.com/go/ads,Ads on Netflix,2026-09-06
Disney+,Global and North America,Video,disneyplus.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported tiers only in relevant markets.,https://press.disneyplus.com/ad-supported-disney-plus-plan-now-available-in-the-us ; https://www.disneyplus.com/explore/what-is-disneyplus?msockid=3cc1646b361760fe1c2472e0372861a0,Ad-Supported Disney+ Plan Now Available In The U.S. With More Than 100 Advertisers Across All Major Categories At Launch | Disney Plus Press ; What is Disney+ | Learn More About Disney+,2026-09-06
Hulu,Global and North America,Video,hulu.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported service; Hulu content inside Disney+ is a separate player surface.,https://www.disneyplus.com/explore/what-is-disneyplus?msockid=3cc1646b361760fe1c2472e0372861a0,What is Disney+ | Learn More About Disney+,2026-09-06
HBO Max,Global and North America,Video,hbomax.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Basic with Ads; country-specific plan and ad load.,https://help.hbomax.com/US/Answer/Detail/000002520,HBO Max | Find out about the HBO Max ad experience that comes with the HBO Max Basic with Ads plan.,2026-09-06
Paramount+,Global and North America,Video,paramountplus.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported plans; live TV can retain ads on higher plans.,https://www.paramountplus.com/account/signup/pickplan/?msockid=339152c80beb6ac234d844180ada6bab,Pick Paramount Plus Plan,2026-09-06
Peacock,Global and North America,Video,peacocktv.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Current paid Select/Premium options; do not assume a generally available free tier.,https://www.peacocktv.com/help/article/why-am-i-seeing-ads-as-a-peacock-premium-plus-customer ; https://www.peacocktv.com/plans/all-monthly?successRedirect=%2Fwatch%2Fasset%2Fsports%2Fwwe%2Fwrestlings-bloopers-bleeps-and-bodyslams%2F34153781-8fbf-3c5a-bb5b-3c6ca976ae2d,Will I still see ads as a Peacock Premium Plus customer? ; Peacock - Choose a Plan,2026-09-06
AMC+,Global and North America,Video,amcplus.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid with-ads option; bundled channel content must retain its access rules.,https://join.amcplus.com/home/,Watch Award-Winning Shows & Movies | AMC+,2026-09-06
discovery+,Global and North America,Video,discoveryplus.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported plan; regional plan availability needs checking.,https://help.philo.com/account-billing/packages/,Philo Subscription Plans & Add-Ons | Philo Help,2026-09-06
Fandango at Home,Global and North America,Video,athome.fandango.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official catalog explicitly labels free-with-ads titles alongside rentals/purchases. Former Vudu; title availability and desktop playback remain untested.,https://athome.fandango.com/content/movies/ ; https://athome.fandango.com/content/browse/uxrow/Browse-All-Free-Titles/2764 ; https://athome.fandango.com/content/browse/uxrow/Watch-For-Free-with-Ads-Buy-For-4-99/18120,"Rent, Buy, Watch Movies & TV Online | Fandango at Home (Vudu) ; Browse All Free Titles | Stream on Fandango (Vudu) ; Watch For Free with Ads Buy For 4 99 | Stream on Fandango (Vudu)",2026-09-06
FilmRise,Global and North America,Video,filmrise.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ad-supported apps/channels confirmed; main corporate site is not necessarily a full web player. Test distributor hosts.,https://www.filmrise.com/about-us,ABOUT US,2026-09-06
Fawesome,Global and North America,Video,fawesome.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official distributor page documents free, advertising-funded VOD. Its device list emphasizes CTV/mobile; do not assume a usable desktop player.",https://fawesome.tv/partnerships/,Fawesome Partners | Independent Artists,2026-09-06
Filmzie,Global and North America,Video,filmzie.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free advertising-funded VOD documented in privacy notice.,https://filmzie.com/legal/en/privacy-notice,Filmzie – quality movie & TV shows free streaming.,2026-09-06
DistroTV,Global and North America,Video,distro.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,FAST and VOD; territory/channel variations.,https://blog.distro.tv/news/distrotv-now-set-to-stream-on-major-smart-tv-platforms-in-addition-to-all-key-streaming-devices/,"DistroTV Now Set to Stream on Major Smart TV Platforms, In Addition to All Key Streaming Devices - DistroTV Blog",2026-09-06
Local Now,Global and North America,Video,localnow.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Owner documents a free ad-supported service with local news and entertainment. Current desktop playback and geographic access still need qualification.,https://allenmedia.tv/founder/ ; https://allenmedia.tv/allen-media-group-turns-local-now-into-a-free-hyperlocal-streamer/,Founder - Allen Media Group ; Allen Media Group Turns Local Now Into A Free Hyperlocal Streamer - Allen Media Group,2026-09-06
Crunchyroll Channel,Global and North America,Video,help.crunchyroll.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free linear channel on partner platforms; do not treat paid Crunchyroll app as the same service.,https://help.crunchyroll.com/article/crunchyroll-channel,Crunchyroll Channel,2026-09-06
Rakuten Viki,Global and North America,Video,viki.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free with ads plus Viki Pass; catalog varies by territory.,https://global.rakuten.com/corp/news/press/2024/1118_01.html,"Rakuten Viki Celebrates Second Annual International K-Drama Day on November 29 | Rakuten Group, Inc.",2026-09-06
OnDemandKorea,Global and North America,Video,ondemandkorea.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official pages document free episodes and advertising on free content; paid plans can reduce ads rather than remove every ad. Qualify free VOD separately from sports and premium titles.,https://www.ondemandkorea.com/en/search ; https://www.contentpromo.ondemandkorea.com/standard-en,"Watch Korean Dramas, Movies Online I OnDemandKorea ; odk_membership_standard_en | contentpromo",2026-09-06
CBC Gem,Canada,Video,gem.cbc.ca,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"CBC advertising sales page confirms no-cost viewing and paid ad-free videos, with Web/App audience reporting. Canadian availability; live and pause ads require separate qualification.",https://solutionsmedia.cbcrc.ca/en/platforms/cbc-gem ; https://apps.apple.com/ca/app/cbc-gem-movies-tv-live/id422191503?ls=1,"CBC Gem - CBC & Radio-Canada Media Solutions ; ‎CBC Gem: Movies, TV & Live App - App Store",2026-09-06
Crave,Canada,Video,crave.ca,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Current Standard With Ads documented by Bell; do not assume all Crave is free.,https://www.bell.ca/mobility/promotions/Crave-plans,Crave plans | Bell Mobility | Bell Canada,2026-09-06
ITVX,UK and Ireland,Video,itv.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ads and Premium; live channels still have ads.,https://help.itv.com/support/solutions/articles/204000073725-why-does-itvx-have-ads- ; https://help.itv.com/support/solutions/articles/204000074053/create_ticket,Why does ITVX have ads? : ; I'm subscribed but still seeing adverts :,2026-09-06
Channel 4,UK and Ireland,Video,channel4.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Former All 4; free streaming with optional Channel 4+ ad-free offering.,https://www.channel4.com/press/news/channel-4-brings-iconic-blocks-back-together-single-brand-streaming-future ; https://assets-corporate.channel4.com/_flysystem/s3/2024-01/Fast%20Forward%20-%20Channel%204%20strategy%20summary.pdf,"Channel 4 brings iconic blocks back together for single brand streaming future | Channel 4 ; To transform Channel 4 into a genuinely digital-first public service streamer, Fast Forward has three key strategic pillars:",2026-09-06
U,UK and Ireland,Video,u.co.uk,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Former UKTV Play; free ad-funded streaming documented.,https://u.co.uk/help/faqs,U Frequently Asked Questions | Help | FAQs | Watch TV on U,2026-09-06
STV Player,UK and Ireland,Video,player.stv.tv,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free with ads; subscription/live exceptions.,https://support.stv.tv/support/subscription-pricing ; https://support.stv.tv/support/why-does-stv-player-have-ads-,Subscription Pricing ; Why does STV Player have ads?,2026-09-06
RTÉ Player,UK and Ireland,Video,rte.ie,B,Broadcast advertising documented; separate ad segment not established,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live sports sponsorship/ad breaks confirmed; VOD must be tested separately.,https://about.rte.ie/2026/06/03/rte-unveils-heineken-0-0-as-broadcast-sponsor-of-fifa-world-cup-2026-coverage/,RTÉ unveils Heineken 0.0 as broadcast sponsor of FIFA World Cup 2026 coverage – About RTÉ,2026-09-06
Virgin Media Play,UK and Ireland,Video,virginmediatelevision.ie,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free Irish catch-up/live funded by advertising.,https://www.virginmediatelevision.ie/player-faq,Virgin Media Television - FAQ,2026-09-06
NOW,UK and Ireland,Video,nowtv.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid on-demand includes ads without Boost/Ultra Boost; live-channel ads remain.,https://www.nowtv.com/gb/help/article/can-i-watch-without-ads,Ads On NOW,2026-09-06
TF1+,France and pan-European services,Video,tf1.fr,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded catalog; Premium and live exceptions. Former MYTF1.,https://help.tf1.fr/hc/fr/articles/16165591640338-Pourquoi-je-ne-peux-pas-acc%C3%A9der-gratuitement-aux-programmes-et-au-direct-de-cha%C3%AEnes-sur-TF1 ; https://help.tf1.fr/hc/fr/articles/16165603277074-TF1-une-offre-payante-ou-gratuite,"Pourquoi je ne peux pas accéder gratuitement aux programmes et au direct de chaînes sur TF1+ ? – Centre d'aide de TF1+ ; TF1+, une offre payante ? ou gratuite ? – Centre d'aide de TF1+",2026-09-06
M6+,France and pan-European services,Video,m6.fr,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded with paid options. Former 6play.,https://support.m6plus.m6.fr/hc/fr/articles/27304420678300-Pourquoi-je-ne-peux-pas-acc%C3%A9der-gratuitement-aux-programmes-et-au-direct-de-cha%C3%AEnes-sur-M6 ; https://support.m6plus.m6.fr/hc/fr/articles/13284090995612-Pourquoi-y-a-t-il-des-publicit%C3%A9s-lorsque-je-regarde-un-programme-sur-M6,Pourquoi je ne peux pas accéder gratuitement aux programmes et au direct de chaînes sur M6+ ? – Accéder à M6+ ; Pourquoi y a t-il des publicités lorsque je regarde un programme sur M6+ ? – Accéder à M6+,2026-09-06
france.tv,France and pan-European services,Video,france.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official ad-sales site documents free streaming and advertising formats. This establishes an advertising offering, not ads on every program or a skippable segment; qualify children/live/VOD separately.",https://www.francetvpub.fr/marques/france-tv/ ; https://www.francetvpub.fr/?jet_download=33025,"France.tv - France•TV Publicité ; P U B L I C I T É , ",2026-09-06
Rakuten TV,France and pan-European services,Video,rakuten.tv,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-supported selection plus transactions; website login needed for Free.,https://support.rakuten.tv/hc/en-us/articles/360036407474-What-is-Rakuten-TV-Free ; https://support.rakuten.tv/hc/en-us/articles/360010835133-Technical-requirements-to-use-Rakuten-TV-on-your-Computer,"What is ""Rakuten TV Free""? – Help Rakuten.TV ; Technical requirements to use Rakuten TV on your Computer – Help Rakuten.TV",2026-09-06
Samsung TV Plus,France and pan-European services,Video,samsungtvplus.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Samsung documents FAST advertising and US web-player access. Service availability in other countries does not prove the same browser access. Live playback untested.,https://www.samsung.com/us/tvs/smart-tv/samsung-tv-plus/ ; https://www.samsung.com/us/business/samsungads/blog/2025-newfront-highlights/,Smart TVs | Free Live TV with Samsung TV Plus | Samsung US ; 2025 NewFront Highlights | Blog | Samsung Ads,2026-09-06
LG Channels,France and pan-European services,Video,lgchannels.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,LG documents free ad-supported channels and US PC-browser access. Global service country counts include device distribution and do not establish browser availability everywhere.,https://www.lg.com/us/lg-channels ; https://www.lgchannels.com/ ; https://www.lg.com/global/newsroom/news/media-entertainment-solution/lg-channels-surpasses-5000-channels-globally-as-poland-launch-brings-service-to-37-countries/,"LG Channels | Free Live TV, Movies, and Shows | LG USA ; LG Channels WEB ; LG Channels Surpasses 5,000 Channels Globally, as Poland Launch Brings Service to 37 Countries",2026-09-06
wedotv,France and pan-European services,Video,wedotv.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official editorial page describes free advertising-funded movies/series; privacy center documents video and ad events. Current territory and desktop playback remain untested.,https://blog.wedotv.com/en/article/what-is-avod ; https://wedotv.com/dsa/,What Is AVOD? Ad-Supported Streaming Explained | wedotv ; wedotv | privacy center,2026-09-06
SkyShowtime,France and pan-European services,Video,skyshowtime.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid Standard with Ads across relevant European markets.,https://corporate.skyshowtime.com/234778-skyshowtime-announces-introduction-of-new-standard-with-ads-plan/ ; https://corporate.skyshowtime.com/242082-skyshowtime-introduces-a-new-premium-subscription-plan/,SkyShowtime announces introduction of new Standard with Ads plan | SkyShowtime Newsroom ; SkyShowtime introduces a new Premium subscription plan | SkyShowtime Newsroom,2026-09-06
Joyn Germany,Germany Austria Switzerland,Video,joyn.de,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded service plus paid Joyn+; distinguish live from VOD.,https://www.joyn.de/joyn-plus ; https://www.joyn.de/bts/themen/service/warum-werbung-19845,Dein Joyn+ Abo abschließen | Joyn ; Warum Werbung?,2026-09-06
Joyn Austria,Germany Austria Switzerland,Video,joyn.at,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Owner explicitly documents Austria free ad-funded live/on-demand service and joyn.at access in May 2026. Separate from the German surface; actual player/ad behavior untested.,https://www.prosiebensat1puls4.com/n/sevenone-austria/,Seven.One Austria: Eine neue Marke für geballte Vermarktungspower der ProSiebenSat.1 PULS 4 Gruppe & JOYN Österreich,2026-09-06
RTL+ Germany,Germany Austria Switzerland,Video,plus.rtl.de,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official terms document Free with advertising; paid plans also differ.,https://assets.plus.rtl.de/bouncer/agb.html,AGB - Rechtliche Informationen für unsere Dienstleistungen | RTL+,2026-09-06
Zattoo,Germany Austria Switzerland,Video,zattoo.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded Germany/Switzerland; channel/device restrictions.,https://support.zattoo.com/hc/de/articles/34124449157010-Werbung-auf-Zattoo-mit-und-ohne-Abonnement ; https://support.zattoo.com/hc/en-us/articles/34277042164626-Zattoo-prices-and-features-at-a-glance,Werbung auf Zattoo – mit und ohne Abonnement – Zattoo Support ; Zattoo prices and features at a glance – Zattoo Support,2026-09-06
Mediaset Infinity Italy,Italy Spain Portugal,Video,mediasetinfinity.mediaset.it,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official GOLD feature reduces advertising interruptions on free content; Infinity+ entitlements separate.,https://help.mediasetinfinity.mediaset.it/hc/it/articles/24880779096977-Scopri-la-GOLD-experience,Scopri la GOLD experience – Mediaset Infinity,2026-09-06
Mediaset Infinity Spain,Italy Spain Portugal,Video,mediasetinfinity.es,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Former Mitele; free catalog and digital advertising documented. Validate current redirects/hostname before code.,https://www.mediaset.es/comunicacion/corporativo/publiespana/20250624/publiespana-ad-infinity_18_015948269.html,"Publiespaña revoluciona la publicidad digital con Ad Infinity, nueva solución integrada en la nueva plataforma Mediaset Infinity",2026-09-06
Atresplayer,Italy Spain Portugal,Video,atresplayer.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"May 2026 official plan article confirms registered free content/live with pre-roll advertising, alongside paid plans. Free catalog is limited; territory and player behavior still need testing.",https://suscripcion.atresplayer.com/hazte-premium/nac/primer/ ; https://www.atresplayer.com/actualidad/cuanto-cuesta-atresplayer-que-planes-ofrece_202605226a108c283ce3f96345d11ea6.html,"Suscripción Atresplayer Premium: Planes y precio ; Todos los planes de suscripción que ofrece atresplayer desde 5,99 euros",2026-09-06
VTM GO,Benelux,Video,vtmgo.be,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free pre/mid-roll ads; VTM GO+ and live exceptions.,https://customerservice.vtmgo.be/hc/nl/articles/15017407115409-Krijg-ik-reclame-te-zien-en-hoeveel-onderbrekingen-zijn-dat-dan ; https://customerservice.vtmgo.be/hc/nl/articles/14890461272721-Kan-ik-alles-bekijken-zonder-reclame,Krijg ik reclame te zien en hoeveel onderbrekingen zijn dat dan? – Helpcenter VTM GO ; Kan ik alles bekijken zonder reclame? – Helpcenter VTM GO,2026-09-06
TV4 Play,Nordics,Video,tv4play.se,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free and paid-with-ads; sport/live can retain commercial breaks.,https://www.tv4play.se/var-behandlar-vi-datan ; https://www.tv4play.se/paket?return=%2Fkanaler%2Ftabla%3Fd%3D2026-03-11,TV4 Play data and advertising ; Paket och priser,2026-09-06
Ruutu,Nordics,Video,ruutu.fi,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free Pluto catalog and paid Ruutu+ with ads.,https://asiakastuki.ruutu.fi/article/152-ruudun-hinnasto ; https://www.ruutu.fi/plutotv-sisaltokirjasto,Ruudun hinnasto - Ruutu-käyttäjätuki ; Ruutu - ei koskaan tylsää hetkeä.,2026-09-06
Viaplay,Nordics,Video,viaplay.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid with-ads packages and live-ad exceptions; verify each country.,https://help.viaplay.com/is/advertisements-on-viaplay/,Advertisements on Viaplay - Customer Service,2026-09-06
Player Poland,Central Eastern Europe and Balkans,Video,player.pl,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free channels and paid ad-free offering; verify ad behavior by package.,https://promocja.player.pl/sprawdz-oferte-ogladaj-wiecej ; https://www.promocja.player.pl/bez-reklam,"Twoje ulubione seriale i programy w Playerze – sprawdź, jaki pakiet wybrać ; Sprawdź pakiet, z którym oglądasz bez reklam!",2026-09-06
Ivi,Turkey Caucasus CIS Ukraine Baltics,Video,ivi.ru,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free content interrupted by ads documented; subscription and live exceptions.,https://ask.ivi.ru/knowledge-bases/10/articles/41543-reklama-na-sajte-ivi-sdelat-eyo-menshe-ili-sovsem-ubrat ; https://www.ivi.ru/pages/agreement/agreement.txt,Реклама на сайте Иви (сделать её меньше или совсем убрать) / Иви ; Ivi service agreement,2026-09-06
JioHotstar,India,Video,hotstar.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid ad-supported Mobile/Super plans; Premium entertainment exception does not remove live sports ads. Some free sampling may vary.,https://www.jiostar.com/news/jiohotstar-introduces-monthly-plans-across-tiers-giving-viewers-more-choice-in-how-they-watch-their-favourite-entertainment/,"JioHotstar Introduces Monthly Plans Across Tiers, Giving Viewers More Choice in How They Watch Their Favourite Entertainment - Jiostar",2026-09-06
MX Player by Prime Video,India,Video,mxplayer.in,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Amazon announced unification rollout in 2026; test remaining web host and Prime Free to Me as surfaces of a transitioning service.,https://www.aboutamazon.in/news/company-news/prime-video-mx-player-india-largest-streaming-service ; https://www.aboutamazon.in/news/company-news/prime-video-mx-player-india-largest-streaming-service,Prime Video and Amazon MX Player unification begins: Here's what's new - About Amazon India ; Prime Video and Amazon MX Player unification begins: Here's what's new - About Amazon India,2026-09-06
SonyLIV,India,Video,sonyliv.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official FAQ confirms free-user ads and paid ad-supported plans.,https://www.sonyliv.com/faqs,FAQs - Sony LIV,2026-09-06
ZEE5,India,Video,zee5.com,P,Paid ad-supported offering documented; not generally free,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Indian plan table explicitly lists paid plans with ads and Laptop/PC support. This is not evidence of a general free tier. Regional, kids and live plans differ.",https://www.zee5.com/myaccount/subscription?campaign-id=shabadreetaurriwaaz&content-id=0-1-6z5861493&language-code=hi&language-duration=DURATION_3M ; https://helpcenter.zee5.com/portal/en/kb/articles/premium-subscription-plans-12-5-2023,Avail the Best ZEE5 Subscription Plan & ZEE5 Offers ; ZEE5 Premium subscription plans,2026-09-06
TVer,Japan,Video,tver.jp,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official ad-funded free catch-up service; Japanese labels and territorial rights.,https://privacy.tver.jp/,TVerプライバシーガイド,2026-09-06
